game_id,team,rebound_count,win
1,CU,36,false
1,Mercy,42,false
2,Mercy,30,false
2,STO,39,false
3,Mercy,85,true
4,CCSU,36,false
4,Mercy,30,false
5,Mercy,92,false
6,CSU,41,true
6,Mercy,30,true
7,DePaul,50,false
7,Mercy,27,false
8,Mercy,57,false
9,Mercy,75,false
10,Mercy,30,false
10,RM,38,false
11,Mercy,37,true
11,SF-PA,35,true
12,Mercy,60,false
13,Mercy,84,false
14,Mercy,34,true
14,YSU,41,true
15,Mercy,67,false
16,Mercy,95,false
17,Mercy,23,true
17,UT,39,true
18,Mercy,79,true
19,FDU,44,true
19,Mercy,32,true
20,Mercy,31,false
20,XU,33,false
21,Mercy,73,true
22,Mercy,39,false
22,WC,41,false
23,Mercy,32,true
23,ND,51,true
24,Mercy,71,false
25,LeM,36,false
25,Mercy,31,false
26,Mercy,74,false
27,LIU,32,false
27,Mercy,43,false